Available Impr,Online_Video_Impr,Offline_Total Tarps
11470," 1,912,340 ",15
10173," 4,725,139 ",80
8953," 3,306,022 ",84
7461, -   ,85
9161, -   ,74
10311, -   ,262
10957," 4,659,534 ",214
10604," 7,189,577 ",143
9687," 1,528,604 ",119
13468, -   ,225
13358, -   ,156
12383, -   ,119
11437, -   ,141
11959," 397,977 ",165
11584," 281,226 ",157
11286," 210,725 ",130
10177," 258,346 ",57
10557," 423,807 ",167
10862," 1,379,600 ",115
11574," 1,985,980 ",91
11730," 2,053,707 ",41
12139," 348,247 ",20
11532," 318,996 ",105
10769," 1,565,208 ",74
10507," 2,610,088 ",81
10266," 893,101 ",33
11533," 1,232,859 ",30
10134," 1,922,535 ",60
9553," 1,836,575 ",119
7761," 2,100,188 ",22
10201," 2,572,662 ",21
9736," 3,031,854 ",138
10009," 3,847,745 ",131
11487," 938,359 ",90
9814," 300,257 ",187
9719," 204,801 ",143
8883," 205,957 ",98
9220," 114,424 ",25
8971," 54,693 ",21
8402," 54,578 ",20
8551," 53,313 ",22
8803," 50,506 ",21
9677," 56,072 ",33
9049," 53,384 ",33
8831," 52,375 ",35
9076," 100,404 ",48
,,
,,
Correlation,,0.249
Correlation in No TVB period,,0.417
